sample_id,image_path,source_split,detector_annotation_path,verified_ground_truth_plate,condition_labels,valid_plate_present,verification_notes,verified_by,verified_at,plate_detected,detection_outcome
DEV-001,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\016667cb-5915-4440-9031-efae7700de8f_jpg.rf.78f1d5cd310d9265f5a07c60c25c87c7.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\016667cb-5915-4440-9031-efae7700de8f_jpg.rf.78f1d5cd310d9265f5a07c60c25c87c7.txt,VBP3477,clear,TRUE,,Jacob,2026-09-07T17:19:00+08:00,true,true_positive
DEV-002,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\1b584696-1322-461d-83e0-1a23a3bf82ef_jpg.rf.ee92e4cf521ab174896455f72ca670f8.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\1b584696-1322-461d-83e0-1a23a3bf82ef_jpg.rf.ee92e4cf521ab174896455f72ca670f8.txt,VCF2025,glare_or_overexposure,TRUE,there is a slight reflection in the center of the plate,Jacob,2026-09-07T17:25:00+08:00,true,true_positive
DEV-003,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135640_jpg.rf.2f5f34be562ea15eef9955bb56d0caed.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135640_jpg.rf.2f5f34be562ea15eef9955bb56d0caed.txt,WPY4893,clear,TRUE,,Jacob,2026-09-07T17:27:00+08:00,true,true_positive
DEV-004,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135746_jpg.rf.1a9e529d671c55c3e7990f13765484a1.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135746_jpg.rf.1a9e529d671c55c3e7990f13765484a1.txt,WLR5687,clear;low_light,TRUE,slight shadow making the plate dark,Jacob,2026-09-07T17:28:00+08:00,true,true_positive
DEV-005,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135844_jpg.rf.25c1881b748887061173e51148ba7f6a.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135844_jpg.rf.25c1881b748887061173e51148ba7f6a.txt,QTQ2973,angled;low_light,TRUE,shadow making the plate dark and slightly angled,Jacob,2026-09-07T17:30:00+08:00,true,true_positive
DEV-006,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135850_jpg.rf.5e57c43f9f9c8e77b89dc08ab816f4a1.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135850_jpg.rf.5e57c43f9f9c8e77b89dc08ab816f4a1.txt,JWD6338,clear,TRUE,,Jacob,2026-09-07T17:31:00+08:00,true,true_positive
DEV-007,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135907_jpg.rf.42ee39c108a5e03cf772c0539fcb150e.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135907_jpg.rf.42ee39c108a5e03cf772c0539fcb150e.txt,JQU9339,clear;angled,TRUE,slightly angled,Jacob,2026-09-07T17:32:00+08:00,true,true_positive
DEV-008,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135934_jpg.rf.0de7b3e96e7faf56586454edd35a92c6.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135934_jpg.rf.0de7b3e96e7faf56586454edd35a92c6.txt,MDK193,clear,TRUE,,Jacob,2026-09-07T17:33:00+08:00,true,true_positive
DEV-009,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135944_jpg.rf.8469398619eb130037c71cb45a387197.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_135944_jpg.rf.8469398619eb130037c71cb45a387197.txt,JXD6257,clear,TRUE,,Jacob,2026-09-07T17:34:00+08:00,true,true_positive
DEV-010,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140025_jpg.rf.528e3c3d654d006e822fe6bef884d503.jpg,train,C:\Capstone Project\Malaysian Car Plate Dataset\train\labels\20251123_140025_jpg.rf.528e3c3d654d006e822fe6bef884d503.txt,JRC8985,angled,TRUE,,Jacob,2026-09-07T17:35:00+08:00,true,true_positive
