id,image_path,crop_path,detection_confidence,ocr_raw_text,ocr_normalized_text,ocr_confidence,ground_truth_plate,ground_truth_normalized,exact_match
1,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\016667cb-5915-4440-9031-efae7700de8f_jpg.rf.78f1d5cd310d9265f5a07c60c25c87c7.jpg,ml\evaluation\development\review\crops\01_016667cb-5915-4440-9031-efae7700de8f_jpg.rf.78f1d5cd310d9265f5a07c60c25c87c7.jpg,0.930029,VBP 3477,VBP3477,0.999952,VBP3477,VBP3477,true
2,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\1b584696-1322-461d-83e0-1a23a3bf82ef_jpg.rf.ee92e4cf521ab174896455f72ca670f8.jpg,ml\evaluation\development\review\crops\02_1b584696-1322-461d-83e0-1a23a3bf82ef_jpg.rf.ee92e4cf521ab174896455f72ca670f8.jpg,0.886984,COme,C0ME,0.405778,VCF2025,VCF2025,false
3,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135640_jpg.rf.2f5f34be562ea15eef9955bb56d0caed.jpg,ml\evaluation\development\review\crops\03_20251123_135640_jpg.rf.2f5f34be562ea15eef9955bb56d0caed.jpg,0.897687,WPY4893,WPY4893,0.997381,WPY4893,WPY4893,true
4,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135746_jpg.rf.1a9e529d671c55c3e7990f13765484a1.jpg,ml\evaluation\development\review\crops\04_20251123_135746_jpg.rf.1a9e529d671c55c3e7990f13765484a1.jpg,0.940297,WLR 5687,WLR5687,0.999162,WLR5687,WLR5687,true
5,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135844_jpg.rf.25c1881b748887061173e51148ba7f6a.jpg,ml\evaluation\development\review\crops\05_20251123_135844_jpg.rf.25c1881b748887061173e51148ba7f6a.jpg,0.912078,QTQ2973,QTQ2973,0.999283,QTQ2973,QTQ2973,true
6,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135850_jpg.rf.5e57c43f9f9c8e77b89dc08ab816f4a1.jpg,ml\evaluation\development\review\crops\06_20251123_135850_jpg.rf.5e57c43f9f9c8e77b89dc08ab816f4a1.jpg,0.923521,JWD 6338,JWD6338,0.965711,JWD6338,JWD6338,true
7,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135907_jpg.rf.42ee39c108a5e03cf772c0539fcb150e.jpg,ml\evaluation\development\review\crops\07_20251123_135907_jpg.rf.42ee39c108a5e03cf772c0539fcb150e.jpg,0.916566,JQU 9339,JQU9339,0.997377,JQU9339,JQU9339,true
8,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135934_jpg.rf.0de7b3e96e7faf56586454edd35a92c6.jpg,ml\evaluation\development\review\crops\08_20251123_135934_jpg.rf.0de7b3e96e7faf56586454edd35a92c6.jpg,0.932867,MDK193,MDK193,0.999821,MDK193,MDK193,true
9,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_135944_jpg.rf.8469398619eb130037c71cb45a387197.jpg,ml\evaluation\development\review\crops\09_20251123_135944_jpg.rf.8469398619eb130037c71cb45a387197.jpg,0.928163,JXD 6257,JXD6257,0.996756,JXD6257,JXD6257,true
10,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140025_jpg.rf.528e3c3d654d006e822fe6bef884d503.jpg,ml\evaluation\development\review\crops\10_20251123_140025_jpg.rf.528e3c3d654d006e822fe6bef884d503.jpg,0.935241,JRC8985,JRC8985,0.999948,JRC8985,JRC8985,true
11,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140028_jpg.rf.688ce9d426ad9fdb5069a7982c51cdf4.jpg,ml\evaluation\development\review\crops\11_20251123_140028_jpg.rf.688ce9d426ad9fdb5069a7982c51cdf4.jpg,0.928128,JYG 9508,JYG9508,0.989780,JYG9508,JYG9508,true
12,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140053_jpg.rf.8efe75bdb11488ecf80bc8dbac84a9b1.jpg,ml\evaluation\development\review\crops\12_20251123_140053_jpg.rf.8efe75bdb11488ecf80bc8dbac84a9b1.jpg,0.915266,VNY9118,VNY9118,0.998606,VNY9118,VNY9118,true
13,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140101_jpg.rf.d41df2bb9120127375470367731b55f1.jpg,ml\evaluation\development\review\crops\13_20251123_140101_jpg.rf.d41df2bb9120127375470367731b55f1.jpg,0.950911,NEC 5542,NEC5542,0.999883,NEC5542,NEC5542,true
14,C:\Capstone Project\Malaysian Car Plate Dataset\train\images\20251123_140121_jpg.rf.e71eff84219e317dee78508d5e06d11e.jpg,ml\evaluation\development\review\crops\14_20251123_140121_jpg.rf.e71eff84219e317dee78508d5e06d11e.jpg,0.940171,BNH 8622,BNH8622,0.999602,BNH8622,BNH8622,true
